,sb,name,n_decklists,sum,mean_rnd,mean,std,min,25%,50%,75%,max
0,0,Swamp,150,991.0,7.0,6.6066666666666665,1.4137230900680298,0.0,6.0,7.0,7.0,13.0
1,0,Forest,150,918.0,6.0,6.12,1.1923694756420735,0.0,6.0,6.0,7.0,9.0
2,0,Llanowar Wastes,150,591.0,4.0,3.94,0.4214070391171102,0.0,4.0,4.0,4.0,4.0
3,0,Pernicious Deed,150,589.0,4.0,3.9266666666666667,0.40295330331595985,0.0,4.0,4.0,4.0,4.0
4,0,Treetop Village,150,584.0,4.0,3.8933333333333335,0.5069538806799544,0.0,4.0,4.0,4.0,4.0
5,0,Cabal Therapy,150,580.0,4.0,3.8666666666666667,0.6203123987442087,0.0,4.0,4.0,4.0,4.0
6,0,Wall of Blossoms,150,539.0,4.0,3.5933333333333333,0.85997242555034,0.0,4.0,4.0,4.0,4.0
7,0,Duress,150,508.0,3.0,3.3866666666666667,0.8807155927183703,0.0,3.0,4.0,4.0,4.0
8,0,Ravenous Baloth,150,464.0,3.0,3.0933333333333333,1.377414495898858,0.0,2.25,4.0,4.0,4.0
9,0,Deranged Hermit,150,294.0,2.0,1.96,1.2199680928823537,0.0,1.0,2.0,2.0,4.0
10,0,Recurring Nightmare,150,265.0,2.0,1.7666666666666666,0.5724862375376567,0.0,2.0,2.0,2.0,3.0
11,0,Wall of Roots,151,225.0,1.0,1.490066225165563,1.7199517422256323,0.0,0.0,0.0,3.0,4.0
12,0,Vendetta,150,213.0,1.0,1.42,0.8994405419985271,0.0,1.0,2.0,2.0,3.0
13,0,Blastoderm,150,202.0,1.0,1.3466666666666667,1.5629376344617856,0.0,0.0,0.0,3.0,4.0
14,0,Yavimaya Elder,150,197.0,1.0,1.3133333333333332,1.0563751282726748,0.0,0.0,1.0,2.0,4.0
15,0,Naturalize,150,190.0,1.0,1.2666666666666666,0.9171495575760632,0.0,0.0,2.0,2.0,3.0
16,0,Birds of Paradise,150,189.0,1.0,1.26,1.6237747058326821,0.0,0.0,0.0,2.0,4.0
17,0,Phyrexian Rager,150,163.0,1.0,1.0866666666666667,1.340823480650597,0.0,0.0,0.0,2.0,4.0
18,0,Smother,150,153.0,1.0,1.02,0.9230093762930214,0.0,0.0,1.0,2.0,4.0
19,0,Dust Bowl,150,107.0,1.0,0.7133333333333334,0.5596819166944027,0.0,0.0,1.0,1.0,3.0
20,0,Volrath's Stronghold,150,91.0,1.0,0.6066666666666667,0.4901262221576522,0.0,0.0,1.0,1.0,1.0
21,0,Living Wish,150,86.0,1.0,0.5733333333333334,1.0703237085869444,0.0,0.0,0.0,0.0,4.0
22,0,Krosan Tusker,150,84.0,1.0,0.56,0.7371266544481934,0.0,0.0,0.0,1.0,4.0
